prompt,intent,theme,cycle_phase,Hindi Translation,Tamil Translation,Bengali Translation,Marathi Translation,Hinglish Translation
Think of a time you overcame your mood changes suddenly. What helped?,mood_reframe,PMS mood swings,post-period,उस समय के बारे में सोचें जब आप अपने मूड में अचानक बदल जाते हैं। क्या मदद की?,உங்கள் மனநிலை மாற்றங்களை திடீரென்று நீங்கள் வென்ற நேரத்தை நினைத்துப் பாருங்கள். என்ன உதவியது?,হঠাৎ আপনার মেজাজের পরিবর্তনগুলি কাটিয়ে উঠার সময়টি ভাবুন। কি সাহায্য করেছে?,आपण आपल्या मूडमध्ये अचानक बदल केल्याच्या वेळेचा विचार करा. काय मदत केली?,Socho ek samay ke baare mein jab aapne achanak apne mood swings ko paar kiya tha. Kya madad kiya tha?
"If this were a recurring pattern, how might you prepare for it emotionally?",body_acceptance,Anxiety and low mood during periods,post-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap iske liye emotionally kaise tayyar hote?"
What evidence do you have that supports or challenges the thought that youâ€™re not confident in how you look?,mood_reframe,Body image and self-esteem issues,menstruation,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आप इस बात पर भरोसा नहीं करते हैं कि आप कैसे दिखते हैं?,நீங்கள் எப்படி இருக்கிறீர்கள் என்பதில் உங்களுக்கு நம்பிக்கை இல்லை என்ற எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা এই চিন্তাকে সমর্থন করে বা চ্যালেঞ্জ করে যে আপনি কীভাবে দেখছেন তাতে আপনি আত্মবিশ্বাসী নন?,आपल्याकडे कोणता पुरावा आहे जो आपण कसा दिसता यावर विश्वास ठेवत नाही या विचारांना समर्थन देतो किंवा आव्हान देतो?,Aapke paas kya saboot hai jo yeh vichar samarthan karta hai ya challenge karta hai ki aap apne dikhne ke tarike par confident nahi hain?
Can you identify a small step to handle youâ€™re feeling anxious and tired?,body_acceptance,Anxiety and low mood during periods,pre-period,क्या आप चिंतित और थके हुए महसूस करने के लिए एक छोटे से कदम की पहचान कर सकते हैं?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் இருப்பதைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন তা পরিচালনা করার জন্য আপনি কি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत आहे हे हाताळण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chhota kadam pehchan sakte hain jab aapko chinta aur thakan mehsoos ho rahi ho?
What evidence do you have that supports or challenges the thought that you feel uncomfortable in your body?,stress_relief,Body image and self-esteem issues,pre-period,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आप अपने शरीर में असहज महसूस करते हैं?,உங்கள் உடலில் நீங்கள் சங்கடமாக இருக்கும் எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা আপনার শরীরে অস্বস্তি বোধ করে এমন চিন্তাকে সমর্থন করে বা চ্যালেঞ্জ করে?,आपल्या शरीरात आपल्याला अस्वस्थ वाटेल या विचारांना पाठिंबा किंवा आव्हान देणारे आपल्याकडे कोणते पुरावे आहेत?,Aapke paas kya saboot hai jo aapke vichaar ko samarthan karta hai ya challenge karta hai ki aap apne sharir me asuvidha mehsoos karte hain?
"If this were a recurring pattern, how might you prepare for it emotionally?",body_acceptance,Hormonal stress,pre-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wali pattern hoti, toh aap iske liye emotionally kaise tayari karte?"
What might change if you were a little kinder to yourself about youâ€™re feeling anxious and tired?,mood_reframe,Anxiety and low mood during periods,menstruation,यदि आप चिंतित और थके हुए महसूस कर रहे हैं तो आप अपने आप के लिए थोड़े दयालु थे?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் இருப்பதைப் பற்றி நீங்கள் கொஞ்சம் கனிவாக இருந்தால் என்ன மாறக்கூடும்?,আপনি যদি উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন সে সম্পর্কে আপনি যদি নিজের প্রতি একটু দয়ালু হন তবে কী পরিবর্তন হতে পারে?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असल्यास आपण स्वत: चे थोडे दयाळू असाल तर काय बदलू शकते?,"Agar tum apne aap ko thoda aur kind ho jab tum anxious ya thake hue ho, toh kya badal sakta hai?"
What evidence do you have that supports or challenges the thought that you feel uncomfortable in your body?,stress_relief,Body image and self-esteem issues,menstruation,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आप अपने शरीर में असहज महसूस करते हैं?,உங்கள் உடலில் நீங்கள் சங்கடமாக இருக்கும் எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা আপনার শরীরে অস্বস্তি বোধ করে এমন চিন্তাকে সমর্থন করে বা চ্যালেঞ্জ করে?,आपल्या शरीरात आपल्याला अस्वस्थ वाटेल या विचारांना पाठिंबा किंवा आव्हान देणारे आपल्याकडे कोणते पुरावे आहेत?,Aapke paas kya saboot hai jo aapke vichar ko samarthan karta hai ya challenge karta hai ki aap apne sharir me asuvidha mehsoos karte hain?
What might change if you were a little kinder to yourself about your mood changes suddenly?,stress_relief,PMS mood swings,post-period,यदि आप अपने मूड में अचानक बदलाव के बारे में अपने आप के लिए थोड़े दयालु थे तो क्या बदल सकता है?,உங்கள் மனநிலை மாற்றங்கள் திடீரென்று நீங்கள் கொஞ்சம் கனிவானவராக இருந்தால் என்ன மாறக்கூடும்?,হঠাৎ আপনার মেজাজের পরিবর্তনগুলি সম্পর্কে আপনি যদি নিজেকে একটু দয়ালু হন তবে কী পরিবর্তন হতে পারে?,आपल्या मनःस्थितीतील बदलांबद्दल आपण स्वत: चे थोडे दयाळू असाल तर काय बदलू शकते?,"Agar aap apne mood ke achanak badalne par khud ko thoda aur dayalu banate, toh kya badal sakta hai?"
How does your body feel when you're thinking about youâ€™re feeling anxious and tired?,mood_reframe,Anxiety and low mood during periods,menstruation,जब आप चिंतित और थके हुए महसूस कर रहे हैं तो आपका शरीर कैसा महसूस करता है?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்று நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন তখন আপনার শরীরটি কেমন অনুভব করে?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असताना आपल्या शरीराला कसे वाटते?,"Jab tum sochte ho ki tum pareshan aur thake huye ho, tab tumhare sharir ko kaisa mehsoos hota hai?"
"If this were a recurring pattern, how might you prepare for it emotionally?",body_acceptance,Body image and self-esteem issues,pre-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wali pattern hoti, toh aap uske liye emotionally kaise tayaar ho sakte hain?"
Can you identify a small step to handle you feel emotionally low?,stress_relief,Anxiety and low mood during periods,pre-period,क्या आप भावनात्मक रूप से कम महसूस करने के लिए एक छोटे कदम की पहचान कर सकते हैं?,நீங்கள் உணர்ச்சிவசப்படுவதைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি আবেগগতভাবে কম বোধ করতে আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,आपल्याला भावनिकदृष्ट्या कमी वाटेल असे हाताळण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,"Kya aap ek chota kadam pehchan sakte hain jab aap emotionally low mehsoos karte hain, usse sambhalne ke liye?"
What would you say to a friend who is struggling with you feel irritable for no reason?,body_acceptance,Hormonal stress,menstruation,"आप एक दोस्त से क्या कहेंगे जो आपके साथ संघर्ष कर रहा है, बिना किसी कारण के चिड़चिड़ा महसूस कर रहा है?",உங்களுடன் போராடும் நண்பரிடம் எந்த காரணமும் இல்லாமல் எரிச்சலூட்டுவதாக உணருவீர்கள்?,আপনার সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন যে অকারণে বিরক্ত বোধ করছেন?,आपल्याशी संघर्ष करणार्‍या मित्राला विनाकारण चिडचिडेपणा वाटणार्‍या मित्राला आपण काय म्हणाल?,Tum kya kahoge ek dost se jo pareshan hai kyunki tum bina kisi wajah ke chidchide ho rahe ho?
What might change if you were a little kinder to yourself about your mood changes suddenly?,mood_reframe,PMS mood swings,menstruation,यदि आप अपने मूड में अचानक बदलाव के बारे में अपने आप के लिए थोड़े दयालु थे तो क्या बदल सकता है?,உங்கள் மனநிலை மாற்றங்கள் திடீரென்று நீங்கள் கொஞ்சம் கனிவானவராக இருந்தால் என்ன மாறக்கூடும்?,হঠাৎ আপনার মেজাজের পরিবর্তনগুলি সম্পর্কে আপনি যদি নিজেকে একটু দয়ালু হন তবে কী পরিবর্তন হতে পারে?,आपल्या मनःस्थितीतील बदलांबद्दल आपण स्वत: चे थोडे दयाळू असाल तर काय बदलू शकते?,"Agar aap apne mood swings ke baare mein khud ko thoda aur samajhdari se dekhte, toh kya badlav ho sakta hai?"
What would you say to a friend who is struggling with your body feels out of sync?,body_acceptance,Hormonal stress,menstruation,"आप एक दोस्त से क्या कहेंगे जो आपके शरीर से जूझ रहा है, वह सिंक से बाहर है?",உங்கள் உடலுடன் போராடும் நண்பரிடம் நீங்கள் என்ன சொல்வீர்கள்?,আপনার শরীরের সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন?,आपल्या शरीराशी झगडत असलेल्या मित्राला आपण काय म्हणाल?,Tum apne dost se kya kahoge jo apne sharir ko sync mei nahi mehsoos kar rahe hain?
What might change if you were a little kinder to yourself about youâ€™re feeling anxious and tired?,stress_relief,Anxiety and low mood during periods,pre-period,यदि आप चिंतित और थके हुए महसूस कर रहे हैं तो आप अपने आप के लिए थोड़े दयालु थे?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் இருப்பதைப் பற்றி நீங்கள் கொஞ்சம் கனிவாக இருந்தால் என்ன மாறக்கூடும்?,আপনি যদি উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন সে সম্পর্কে আপনি যদি নিজের প্রতি একটু দয়ালু হন তবে কী পরিবর্তন হতে পারে?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असल्यास आपण स्वत: चे थोडे दयाळू असाल तर काय बदलू शकते?,"Agar aap apne aap se thodi si zyada dayalu ho jate jab aapko chinta ya thakan mehsoos hoti hai, to kya badlav ho sakta hai?"
What evidence do you have that supports or challenges the thought that you feel uncomfortable in your body?,mood_reframe,Body image and self-esteem issues,post-period,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आप अपने शरीर में असहज महसूस करते हैं?,உங்கள் உடலில் நீங்கள் சங்கடமாக இருக்கும் எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা আপনার শরীরে অস্বস্তি বোধ করে এমন চিন্তাকে সমর্থন করে বা চ্যালেঞ্জ করে?,आपल्या शरीरात आपल्याला अस्वस्थ वाटेल या विचारांना पाठिंबा किंवा आव्हान देणारे आपल्याकडे कोणते पुरावे आहेत?,Aapke paas kya saboot hai jo yeh vichar samarthan karta hai ya challenge karta hai ki aapko apne sharir mein asuvidha mehsoos hoti hai?
Whatâ€™s another way to look at the fact that you feel irritable for no reason?,stress_relief,Hormonal stress,menstruation,इस तथ्य को देखने का एक और तरीका क्या है कि आप बिना किसी कारण के चिड़चिड़ा महसूस करते हैं?,எந்த காரணமும் இல்லாமல் நீங்கள் எரிச்சலூட்டுகிறீர்கள் என்ற உண்மையைப் பார்க்க மற்றொரு வழி என்ன?,আপনি অকারণে বিরক্ত বোধ করছেন এই সত্যটি দেখার আর কী উপায়?,आपल्याला विनाकारण चिडचिडेपणा वाटतो हे पाहण्याचा आणखी एक मार्ग कोणता आहे?,Tumhe bina kisi wajah ke chidchide mahsoos hone ki baat ko hum ek aur nazar se kaise dekhe?
How can you reframe the thought that you feel irritable for no reason?,body_acceptance,Hormonal stress,post-period,आप इस विचार को कैसे रोक सकते हैं कि आप बिना किसी कारण के चिड़चिड़ा महसूस करते हैं?,எந்த காரணமும் இல்லாமல் நீங்கள் எரிச்சலூட்டுகிறீர்கள் என்ற எண்ணத்தை எவ்வாறு மறுபரிசீலனை செய்யலாம்?,আপনি কীভাবে এই ভাবনাটি প্রত্যাখ্যান করতে পারেন যে আপনি বিনা কারণে বিরক্ত বোধ করছেন?,विनाकारण आपल्याला चिडचिडेपणा वाटतो या विचारांचे आपण कसे पुन्हा विचार करू शकता?,Tum kaise soch ko punah frame kar sakte ho ki tumhe bina kisi wajah ke irritate hona lag raha hai?
What might change if you were a little kinder to yourself about you feel overwhelmed by emotional shifts?,body_acceptance,PMS mood swings,menstruation,यदि आप अपने बारे में थोड़ा दयालु थे तो आप भावनात्मक बदलावों से अभिभूत महसूस कर सकते हैं?,உணர்ச்சிபூர்வமான மாற்றங்களால் நீங்கள் அதிகமாக உணர்ந்ததைப் பற்றி நீங்கள் கொஞ்சம் கனிவானவராக இருந்தால் என்ன மாறக்கூடும்?,আপনি যদি সংবেদনশীল পরিবর্তন দেখে অভিভূত বোধ করেন সে সম্পর্কে আপনি নিজের প্রতি একটু দয়ালু হয়ে থাকলে কী পরিবর্তন হতে পারে?,आपण भावनिक बदलांमुळे भारावून गेलेल्या आपल्याबद्दल स्वत: चे थोडे दयाळू असाल तर काय बदलू शकते?,"Agar aap apne aap ko thoda aur dayaalu banate, jab aapko bhavnatmak parivartan se ghabrahat hoti hai, toh kya parivartan ho sakta hai?"
Think of a time you overcame your mood changes suddenly. What helped?,mood_reframe,PMS mood swings,menstruation,उस समय के बारे में सोचें जब आप अपने मूड में अचानक बदल जाते हैं। क्या मदद की?,உங்கள் மனநிலை மாற்றங்களை திடீரென்று நீங்கள் வென்ற நேரத்தை நினைத்துப் பாருங்கள். என்ன உதவியது?,হঠাৎ আপনার মেজাজের পরিবর্তনগুলি কাটিয়ে উঠার সময়টি ভাবুন। কি সাহায্য করেছে?,आपण आपल्या मूडमध्ये अचानक बदल केल्याच्या वेळेचा विचार करा. काय मदत केली?,Socho ek samay ke baare mein jab aapne achanak apne mood changes ko paar kiya. Kya madad ki?
How does your body feel when you're thinking about you feel overwhelmed by emotional shifts?,stress_relief,PMS mood swings,menstruation,जब आप सोच रहे हैं कि आप भावनात्मक बदलावों से अभिभूत महसूस करते हैं तो आपका शरीर कैसा महसूस करता है?,"உங்களைப் பற்றி நீங்கள் நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது, உணர்ச்சி மாற்றங்களால் அதிகமாக உணரப்படுகிறது?",আপনি যখন সংবেদনশীল শিফটগুলি দ্বারা অভিভূত বোধ করেন তখন আপনার শরীরটি কেমন অনুভব করে?,जेव्हा आपण भावनिक बदलांमुळे भारावून जाणता तेव्हा आपण आपल्या शरीराला कसे वाटते?,"Jab tum apne aap ko bhavnatmak parivartan se abhibhoot mehsoos karte ho, tab tumhara sharir kaisa mehsoos hota hai?"
How does your body feel when you're thinking about you feel emotionally low?,mood_reframe,Anxiety and low mood during periods,pre-period,जब आप सोच रहे हैं कि आप भावनात्मक रूप से कम महसूस करते हैं तो आपका शरीर कैसा महसूस करता है?,உங்களைப் பற்றி நீங்கள் நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন আবেগগতভাবে কম বোধ করেন তখন আপনার শরীরটি কেমন অনুভব করে?,जेव्हा आपण आपल्याबद्दल भावनिकदृष्ट्या कमी वाटता तेव्हा आपल्या शरीराला कसे वाटते?,"Jab tum emotionally low mehsoos karte ho, tab tumhara sharir kaisa mehsoos hota hai?"
Whatâ€™s another way to look at the fact that you feel uncomfortable in your body?,mood_reframe,Body image and self-esteem issues,post-period,इस तथ्य को देखने का एक और तरीका क्या है कि आप अपने शरीर में असहज महसूस करते हैं?,உங்கள் உடலில் நீங்கள் சங்கடமாக உணர்கிறீர்கள் என்ற உண்மையைப் பார்க்க மற்றொரு வழி என்ன?,আপনি আপনার শরীরে অস্বস্তি বোধ করছেন এই সত্যটি দেখার আর কী উপায়?,आपल्या शरीरात आपल्याला अस्वस्थ वाटते हे पाहण्याचा आणखी एक मार्ग कोणता आहे?,Tumhare sharir mein asuvidha mahsoos karne ki vishay par ek aur nazariya kya ho sakta hai?
What are 2 small actions you could take to feel better about you feel irritable for no reason?,body_acceptance,Hormonal stress,pre-period,बिना किसी कारण के आप चिड़चिड़ा महसूस करने के बारे में बेहतर महसूस करने के लिए 2 छोटे कार्य कर सकते हैं?,எந்த காரணமும் இல்லாமல் எரிச்சலூட்டுவதைப் பற்றி நீங்கள் நன்றாக உணர நீங்கள் எடுக்கக்கூடிய 2 சிறிய செயல்கள் யாவை?,আপনার সম্পর্কে আরও ভাল বোধ করতে আপনি 2 টি ছোট ক্রিয়া কী কী তা অকারণে বিরক্ত বোধ করতে পারেন?,विनाकारण चिडचिडेपणा वाटण्यासाठी आपण अधिक चांगले वाटण्यासाठी आपण ज्या 2 लहान क्रिया करू शकता?,"Tum kya do chote kadam utha sakte ho jisse tumhe apne aapko behtar mehsoos karne me madad mile, jab tum bina kisi wajah ke chidchide mehsoos karte ho?"
Can you identify a small step to handle you feel irritable for no reason?,body_acceptance,Hormonal stress,menstruation,क्या आप बिना किसी कारण के चिड़चिड़ा महसूस करने के लिए एक छोटे कदम की पहचान कर सकते हैं?,எந்த காரணமும் இல்லாமல் நீங்கள் எரிச்சலூட்டுவதைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি বিনা কারণে বিরক্ত বোধ করার জন্য আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,विनाकारण आपल्याला चिडचिडेपणा वाटण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chhota kadam pehchan sakte hain jisse aap bina kisi wajah ke chirchire mahsoos karne ka samna kar saken?
How can you reframe the thought that your mood changes suddenly?,stress_relief,PMS mood swings,pre-period,आप इस विचार को कैसे रोक सकते हैं कि आपका मूड अचानक बदल जाता है?,உங்கள் மனநிலை திடீரென்று மாறுகிறது என்ற எண்ணத்தை எவ்வாறு மறுபரிசீலனை செய்யலாம்?,আপনার মেজাজ হঠাৎ পরিবর্তিত এই চিন্তাকে আপনি কীভাবে প্রত্যাখ্যান করতে পারেন?,आपला मनःस्थिती अचानक बदलते या विचारांचे आपण कसे पुन्हा मत देऊ शकता?,Aap kaise vichar ko punah rachit kar sakte hain ki aapka mood achanak badal jata hai?
